;pais_destino;ano;quantidade_l;valor_uss
666;Cayman, Ilhas;2013;0;0
667;Chile;2013;0;0
668;China;2013;40929;279956
669;Chipre;2013;0;0
670;Cingapura;2013;766;5779
671;Cocos (Keeling), Ilhas;2013;0;0
672;Colômbia;2013;8;30
673;Comores;2013;0;0
674;Congo;2013;0;0
675;Coreia, Republica Sul;2013;0;0
676;Costa do Marfim;2013;0;0
677;Costa Rica;2013;0;0
678;Croácia;2013;0;0
679;Cuba;2013;0;0
680;Curaçao;2013;0;0
681;Dinamarca;2013;17892;101915
682;Dominica;2013;0;0
683;El Salvador;2013;0;0
684;Emirados Arabes Unidos;2013;0;0
685;Equador;2013;0;0
686;Eslovaca, Republica;2013;0;0
687;Espanha;2013;1972980;3748940
688;Estados Unidos;2013;245368;786556
689;Estônia;2013;0;0
690;Filipinas;2013;0;0
691;Finlândia;2013;36682;283114
692;França;2013;6885;42256
693;Gana;2013;0;0
694;Gibraltar;2013;0;0
695;Granada;2013;0;0
696;Grécia;2013;0;0
697;Guatemala;2013;0;0
698;Guiana;2013;0;0
699;Guiana Francesa;2013;0;0
700;Guine Bissau;2013;0;0
701;Guine Equatorial;2013;1108;5336
702;Haiti;2013;0;0
703;Honduras;2013;0;0
704;Hong Kong;2013;16013;61224
705;Hungria;2013;0;0
706;Ilha de Man;2013;0;0
707;Ilhas Virgens;2013;0;0
708;India;2013;0;0
709;Indonésia;2013;0;0
710;Irã;2013;0;0
711;Iraque;2013;0;0
712;Irlanda;2013;0;0
713;Itália;2013;1710;11967
714;Jamaica;2013;0;0
715;Japão;2013;91988;429088
716;Jordânia;2013;0;0
717;Letônia;2013;0;0
718;Líbano;2013;0;0
719;Libéria;2013;0;0
720;Luxemburgo;2013;5135;29474
721;Malásia;2013;0;0
722;Malta;2013;0;0
723;Marshall, Ilhas;2013;0;0
724;Mauritânia;2013;0;0
725;México;2013;0;0
726;Moçambique;2013;0;0
727;Montenegro;2013;0;0
728;Namibia;2013;0;0
729;Nicaragua;2013;0;0
730;Nigéria;2013;1350;2245
731;Noruega;2013;2375;19008
732;Nova Caledônia;2013;0;0
733;Nova Zelândia;2013;1004;4092
734;Omã;2013;0;0
735;Países Baixos;2013;57792;255690
736;Panamá;2013;0;0
737;Paraguai;2013;481564;680828
738;Peru;2013;0;0
739;Polônia;2013;19249;90960
740;Porto Rico;2013;0;0
741;Portugal;2013;23810;17627
742;Quênia;2013;6;4
743;Reino Unido;2013;59161;305005
744;República Dominicana;2013;0;0
745;Rússia;2013;5893291;14795694
746;São Tomé e Príncipe;2013;0;0
747;São Vicente e Granadinas;2013;0;0
748;Senegal;2013;0;0
749;Serra Leoa;2013;0;0
750;Singapura;2013;0;0
751;Suazilândia;2013;0;0
752;Suécia;2013;3195;20183
753;Suíça;2013;2997;29785
754;Suriname;2013;1800;2960
755;Tailândia;2013;0;0
756;Taiwan (FORMOSA);2013;0;0
757;Tanzânia;2013;0;0
758;Tcheca, República;2013;3697;23549
759;Togo;2013;0;0
760;Trinidade Tobago;2013;0;0
761;Tunísia;2013;0;0
762;Turquia;2013;0;0
763;Tuvalu;2013;0;0
764;Uruguai;2013;1526;13343
765;Vanuatu;2013;0;0
766;Venezuela;2013;0;0
767;Vietnã;2013;0;0
768;Afeganistão;2014;0;0
769;África do Sul;2014;0;0
770;Alemanha, República Democrática;2014;213348;761653
