;pais_destino;ano;quantidade_l;valor_uss
392;El Salvador;2011;0;0
393;Emirados Arabes Unidos;2011;2120;6594
394;Equador;2011;0;0
395;Eslovaca, Republica;2011;0;0
396;Espanha;2011;5206;24618
397;Estados Unidos;2011;306787;1030254
398;Estônia;2011;450;5336
399;Filipinas;2011;0;0
400;Finlândia;2011;12404;50394
401;França;2011;0;0
402;Gana;2011;0;0
403;Gibraltar;2011;0;0
404;Granada;2011;0;0
405;Grécia;2011;0;0
406;Guatemala;2011;0;0
407;Guiana;2011;0;0
408;Guiana Francesa;2011;0;0
409;Guine Bissau;2011;0;0
410;Guine Equatorial;2011;956;1979
411;Haiti;2011;0;0
412;Honduras;2011;0;0
413;Hong Kong;2011;2063;7975
414;Hungria;2011;0;0
415;Ilha de Man;2011;0;0
416;India;2011;0;0
417;Indonésia;2011;0;0
418;Irã;2011;0;0
419;Irlanda;2011;5376;35690
420;Itália;2011;11999;80298
421;Japão;2011;100835;144662
422;Jordânia;2011;0;0
423;Letônia;2011;0;0
424;Libéria;2011;0;0
425;Luxemburgo;2011;9547;65592
426;Malásia;2011;0;0
427;Malta;2011;0;0
428;Marshall, Ilhas;2011;0;0
429;Mauritânia;2011;0;0
430;México;2011;1350;7200
431;Moçambique;2011;0;0
432;Montenegro;2011;0;0
433;Namibia;2011;0;0
434;Nicaragua;2011;0;0
435;Nigéria;2011;54;210
436;Noruega;2011;10268;78688
437;Nova Caledônia;2011;0;0
438;Nova Zelândia;2011;2587;7992
439;Omã;2011;0;0
440;Países Baixos;2011;125414;395356
441;Panamá;2011;0;0
442;Paraguai;2011;240168;276281
443;Peru;2011;0;0
444;Polônia;2011;11732;50684
445;Portugal;2011;95;1031
446;Quênia;2011;0;0
447;Reino Unido;2011;122629;285642
448;Rússia;2011;0;0
449;São Tomé e Príncipe;2011;0;0
450;São Vicente e Granadinas;2011;0;0
451;Serra Leoa;2011;0;0
452;Singapura;2011;0;0
453;Suazilândia;2011;0;0
454;Suécia;2011;1641;14476
455;Suíça;2011;0;0
456;Suriname;2011;3774;3735
457;Tailândia;2011;0;0
458;Taiwan (FORMOSA);2011;4500;10600
459;Tcheca, República;2011;6846;37271
460;Togo;2011;0;0
461;Trinidade Tobago;2011;0;0
462;Turquia;2011;0;0
463;Tuvalu;2011;0;0
464;Uruguai;2011;1238;4404
465;Vanuatu;2011;0;0
466;Venezuela;2011;0;0
467;Vietnã;2011;0;0
468;Afeganistão;2012;0;0
469;África do Sul;2012;0;0
470;Alemanha;2012;8189;56342
471;Angola;2012;2833;8861
472;Antígua e Barbuda;2012;0;0
473;Antilhas Holandesas;2012;9247;14081
474;Argentina;2012;0;0
475;Aruba;2012;0;0
476;Austrália;2012;9345;56045
477;Áustria;2012;0;0
478;Bahamas;2012;1374;12087
479;Bangladesh;2012;0;0
480;Barbados;2012;0;0
481;Barein;2012;0;0
482;Bélgica;2012;16132;90718
483;Belice;2012;0;0
484;Benin;2012;0;0
485;Bolívia;2012;11868;16804
486;Bósnia-Herzegovina;2012;0;0
487;Brasil;2012;0;0
488;Bulgária;2012;0;0
489;Cabo Verde;2012;0;0
490;Camarões;2012;0;0
491;Canadá;2012;14304;146035
492;Catar;2012;0;0
